produit,value,ville,year,code,parent_code,type_produit
"Meubles, articles d'ameublement, tapis et autres revetements de sol",100.0,Al Hoceima,2017,,,total
Produits alimentaires et boissons non alcoolisées,100.0,Béni Mellal,2017,01,,division
Produits alimentaires,100.0,Béni Mellal,2017,011,01,groupe
Boissons non alcoolisées,100.0,Béni Mellal,2017,012,01,groupe
Boissons alcoolisées et tabac,100.0,Béni Mellal,2017,02,,division
Tabac,100.0,Béni Mellal,2017,022,02,groupe
Articles d'habillement et chaussures,100.0,Béni Mellal,2017,03,,division
Articles d'habillement,100.0,Béni Mellal,2017,031,03,groupe
Chaussures,100.0,Béni Mellal,2017,032,03,groupe
"Logement, eau, électricité, gaz et autres combustibles",100.0,Béni Mellal,2017,04,,division
Loyers effectifs,100.0,Béni Mellal,2017,041,04,groupe
Entretien et réparation des logements,100.0,Béni Mellal,2017,043,04,groupe
Alimentation en eau et services divers liés au logement,100.0,Béni Mellal,2017,044,04,groupe
"Electricité, gaz et autres combustibles",100.0,Béni Mellal,2017,045,04,groupe
"Meubles, articles de ménage et entretien courant du foyer",100.0,Béni Mellal,2017,05,,division
Articles de ménage en textiles,100.0,Béni Mellal,2017,052,05,groupe
Appareils ménagers,100.0,Béni Mellal,2017,053,05,groupe
"Verrerie, vaisselle et ustensiles de ménage",100.0,Béni Mellal,2017,054,05,groupe
Outillage et autre matériel pour la maison et le jardin,100.0,Béni Mellal,2017,055,05,groupe
Biens et services liés à l'entretien courant du foyer,100.0,Béni Mellal,2017,056,05,groupe
Santé,100.0,Béni Mellal,2017,06,,division
"Produits, appareils et matériels médicaux",100.0,Béni Mellal,2017,061,06,groupe
Services ambulatoires,100.0,Béni Mellal,2017,062,06,groupe
Services hospitaliers,100.0,Béni Mellal,2017,063,06,groupe
Transport,100.0,Béni Mellal,2017,07,,division
Achat de véhicules,100.0,Béni Mellal,2017,071,07,groupe
Dépenses d'utilisation des véhicules,100.0,Béni Mellal,2017,072,07,groupe
Services de transport,100.0,Béni Mellal,2017,073,07,groupe
Communications,100.0,Béni Mellal,2017,08,,division
Services postaux,100.0,Béni Mellal,2017,081,08,groupe
Matériel de téléphonie et de télécopie,100.0,Béni Mellal,2017,082,08,groupe
Services de téléphonie et de télécopie,100.0,Béni Mellal,2017,083,08,groupe
Loisirs et culture,100.0,Béni Mellal,2017,09,,division
"Matériel audiovisuel, photographique et de traitement de l'information",100.0,Béni Mellal,2017,091,09,groupe
"Autres articles et matériel de loisirs, de jardinage et animaux de compagnie",100.0,Béni Mellal,2017,093,09,groupe
Services récréatifs et culturels,100.0,Béni Mellal,2017,094,09,groupe
"Journaux, livres et articles de papeterie",100.0,Béni Mellal,2017,095,09,groupe
Forfaits touristiques,100.0,Béni Mellal,2017,0960,096,groupe
Enseignement,100.0,Béni Mellal,2017,10,,division
Enseignement préélémentaire et primaire,100.0,Béni Mellal,2017,101,10,groupe
Enseignement secondaire,100.0,Béni Mellal,2017,102,10,groupe
Enseignement postsecondaire non supérieur,100.0,Béni Mellal,2017,103,10,groupe
Enseignement supérieur,100.0,Béni Mellal,2017,104,10,groupe
Enseignement non défini par niveau,100.0,Béni Mellal,2017,105,10,groupe
Restaurants et hôtels,100.0,Béni Mellal,2017,11,,division
Services de restauration,100.0,Béni Mellal,2017,111,11,groupe
Services d'hébergement,100.0,Béni Mellal,2017,112,11,groupe
Biens et services divers,100.0,Béni Mellal,2017,12,,division
Soins corporels,100.0,Béni Mellal,2017,121,12,groupe
Effets personnels non classés ailleurs,100.0,Béni Mellal,2017,123,12,groupe
Assurance,100.0,Béni Mellal,2017,125,12,groupe
Services financiers,100.0,Béni Mellal,2017,126,12,groupe
Autres services,100.0,Béni Mellal,2017,127,12,groupe
Indice général,100.0,Béni Mellal,2017,,,total
Variation (en %),100.0,Béni Mellal,2017,,,total
"Meubles, articles d'ameublement, tapis et autres revetements de sol",100.0,Béni Mellal,2017,,,total
Produits alimentaires et boissons non alcoolisées,100.0,Casablanca,2017,01,,division
Produits alimentaires,100.0,Casablanca,2017,011,01,groupe
Boissons non alcoolisées,100.0,Casablanca,2017,012,01,groupe
Boissons alcoolisées et tabac,100.0,Casablanca,2017,02,,division
Boissons alcoolisées,100.0,Casablanca,2017,021,02,groupe
Tabac,100.0,Casablanca,2017,022,02,groupe
Articles d'habillement et chaussures,100.0,Casablanca,2017,03,,division
Articles d'habillement,100.0,Casablanca,2017,031,03,groupe
Chaussures,100.0,Casablanca,2017,032,03,groupe
"Logement, eau, électricité, gaz et autres combustibles",100.0,Casablanca,2017,04,,division
Loyers effectifs,100.0,Casablanca,2017,041,04,groupe
Entretien et réparation des logements,100.0,Casablanca,2017,043,04,groupe
Alimentation en eau et services divers liés au logement,100.0,Casablanca,2017,044,04,groupe
"Electricité, gaz et autres combustibles",100.0,Casablanca,2017,045,04,groupe
"Meubles, articles de ménage et entretien courant du foyer",100.0,Casablanca,2017,05,,division
Articles de ménage en textiles,100.0,Casablanca,2017,052,05,groupe
Appareils ménagers,100.0,Casablanca,2017,053,05,groupe
"Verrerie, vaisselle et ustensiles de ménage",100.0,Casablanca,2017,054,05,groupe
Outillage et autre matériel pour la maison et le jardin,100.0,Casablanca,2017,055,05,groupe
Biens et services liés à l'entretien courant du foyer,100.0,Casablanca,2017,056,05,groupe
Santé,100.0,Casablanca,2017,06,,division
"Produits, appareils et matériels médicaux",100.0,Casablanca,2017,061,06,groupe
Services ambulatoires,100.0,Casablanca,2017,062,06,groupe
Services hospitaliers,100.0,Casablanca,2017,063,06,groupe
Transport,100.0,Casablanca,2017,07,,division
Achat de véhicules,100.0,Casablanca,2017,071,07,groupe
Dépenses d'utilisation des véhicules,100.0,Casablanca,2017,072,07,groupe
Services de transport,100.0,Casablanca,2017,073,07,groupe
Communications,100.0,Casablanca,2017,08,,division
Services postaux,100.0,Casablanca,2017,081,08,groupe
Matériel de téléphonie et de télécopie,100.0,Casablanca,2017,082,08,groupe
Services de téléphonie et de télécopie,100.0,Casablanca,2017,083,08,groupe
Loisirs et culture,100.0,Casablanca,2017,09,,division
"Matériel audiovisuel, photographique et de traitement de l'information",100.0,Casablanca,2017,091,09,groupe
"Autres articles et matériel de loisirs, de jardinage et animaux de compagnie",100.0,Casablanca,2017,093,09,groupe
Services récréatifs et culturels,100.0,Casablanca,2017,094,09,groupe
"Journaux, livres et articles de papeterie",100.0,Casablanca,2017,095,09,groupe
Forfaits touristiques,100.0,Casablanca,2017,0960,096,groupe
Enseignement,100.0,Casablanca,2017,10,,division
Enseignement préélémentaire et primaire,100.0,Casablanca,2017,101,10,groupe
Enseignement secondaire,100.0,Casablanca,2017,102,10,groupe
Enseignement postsecondaire non supérieur,100.0,Casablanca,2017,103,10,groupe
Enseignement supérieur,100.0,Casablanca,2017,104,10,groupe
Enseignement non défini par niveau,100.0,Casablanca,2017,105,10,groupe
Restaurants et hôtels,100.0,Casablanca,2017,11,,division
Services de restauration,100.0,Casablanca,2017,111,11,groupe
Services d'hébergement,100.0,Casablanca,2017,112,11,groupe
Biens et services divers,100.0,Casablanca,2017,12,,division
Soins corporels,100.0,Casablanca,2017,121,12,groupe
Effets personnels non classés ailleurs,100.0,Casablanca,2017,123,12,groupe
Assurance,100.0,Casablanca,2017,125,12,groupe
Services financiers,100.0,Casablanca,2017,126,12,groupe
Autres services,100.0,Casablanca,2017,127,12,groupe
Autres biens durables à fonction  récréative et culturelle,100.0,Casablanca,2017,,,total
"Meubles, articles d'ameublement, tapis et autres revetements de sol",100.0,Casablanca,2017,,,total
Produits alimentaires et boissons non alcoolisées,100.0,Dakhla,2017,01,,division
Produits alimentaires,100.0,Dakhla,2017,011,01,groupe
Boissons non alcoolisées,100.0,Dakhla,2017,012,01,groupe
Boissons alcoolisées et tabac,100.0,Dakhla,2017,02,,division
Tabac,100.0,Dakhla,2017,022,02,groupe
Articles d'habillement et chaussures,100.0,Dakhla,2017,03,,division
Articles d'habillement,100.0,Dakhla,2017,031,03,groupe
Chaussures,100.0,Dakhla,2017,032,03,groupe
"Logement, eau, électricité, gaz et autres combustibles",100.0,Dakhla,2017,04,,division
Loyers effectifs,100.0,Dakhla,2017,041,04,groupe
Entretien et réparation des logements,100.0,Dakhla,2017,043,04,groupe
Alimentation en eau et services divers liés au logement,100.0,Dakhla,2017,044,04,groupe
"Electricité, gaz et autres combustibles",100.0,Dakhla,2017,045,04,groupe
"Meubles, articles de ménage et entretien courant du foyer",100.0,Dakhla,2017,05,,division
Articles de ménage en textiles,100.0,Dakhla,2017,052,05,groupe
Appareils ménagers,100.0,Dakhla,2017,053,05,groupe
"Verrerie, vaisselle et ustensiles de ménage",100.0,Dakhla,2017,054,05,groupe
Outillage et autre matériel pour la maison et le jardin,100.0,Dakhla,2017,055,05,groupe
Biens et services liés à l'entretien courant du foyer,100.0,Dakhla,2017,056,05,groupe
Santé,100.0,Dakhla,2017,06,,division
"Produits, appareils et matériels médicaux",100.0,Dakhla,2017,061,06,groupe
Services ambulatoires,100.0,Dakhla,2017,062,06,groupe
Services hospitaliers,100.0,Dakhla,2017,063,06,groupe
Transport,100.0,Dakhla,2017,07,,division
Achat de véhicules,100.0,Dakhla,2017,071,07,groupe
Dépenses d'utilisation des véhicules,100.0,Dakhla,2017,072,07,groupe
Services de transport,100.0,Dakhla,2017,073,07,groupe
Communications,100.0,Dakhla,2017,08,,division
Services postaux,100.0,Dakhla,2017,081,08,groupe
Matériel de téléphonie et de télécopie,100.0,Dakhla,2017,082,08,groupe
Services de téléphonie et de télécopie,100.0,Dakhla,2017,083,08,groupe
Loisirs et culture,100.0,Dakhla,2017,09,,division
"Matériel audiovisuel, photographique et de traitement de l'information",100.0,Dakhla,2017,091,09,groupe
"Autres articles et matériel de loisirs, de jardinage et animaux de compagnie",100.0,Dakhla,2017,093,09,groupe
Services récréatifs et culturels,100.0,Dakhla,2017,094,09,groupe
"Journaux, livres et articles de papeterie",100.0,Dakhla,2017,095,09,groupe
Enseignement,100.0,Dakhla,2017,10,,division
Enseignement préélémentaire et primaire,100.0,Dakhla,2017,101,10,groupe
Enseignement secondaire,100.0,Dakhla,2017,102,10,groupe
Restaurants et hôtels,100.0,Dakhla,2017,11,,division
Services de restauration,100.0,Dakhla,2017,111,11,groupe
Services d'hébergement,100.0,Dakhla,2017,112,11,groupe
Biens et services divers,100.0,Dakhla,2017,12,,division
Soins corporels,100.0,Dakhla,2017,121,12,groupe
Effets personnels non classés ailleurs,100.0,Dakhla,2017,123,12,groupe
Assurance,100.0,Dakhla,2017,125,12,groupe
Services financiers,100.0,Dakhla,2017,126,12,groupe
Autres services,100.0,Dakhla,2017,127,12,groupe
Autres biens durables à fonction  récréative et culturelle,100.0,Dakhla,2017,,,total
Indice général,100.0,Dakhla,2017,,,total
"Meubles, articles d'ameublement, tapis et autres revetements de sol",100.0,Dakhla,2017,,,total
Produits alimentaires et boissons non alcoolisées,100.0,Errachidia,2017,01,,division
Produits alimentaires,100.0,Errachidia,2017,011,01,groupe
Boissons non alcoolisées,100.0,Errachidia,2017,012,01,groupe
Boissons alcoolisées et tabac,100.0,Errachidia,2017,02,,division
Boissons alcoolisées,100.0,Errachidia,2017,021,02,groupe
Tabac,100.0,Errachidia,2017,022,02,groupe
Articles d'habillement et chaussures,100.0,Errachidia,2017,03,,division
Articles d'habillement,100.0,Errachidia,2017,031,03,groupe
Chaussures,100.0,Errachidia,2017,032,03,groupe
"Logement, eau, électricité, gaz et autres combustibles",100.0,Errachidia,2017,04,,division
Loyers effectifs,100.0,Errachidia,2017,041,04,groupe
Entretien et réparation des logements,100.0,Errachidia,2017,043,04,groupe
Alimentation en eau et services divers liés au logement,100.0,Errachidia,2017,044,04,groupe
"Electricité, gaz et autres combustibles",100.0,Errachidia,2017,045,04,groupe
"Meubles, articles de ménage et entretien courant du foyer",100.0,Errachidia,2017,05,,division
Articles de ménage en textiles,100.0,Errachidia,2017,052,05,groupe
Appareils ménagers,100.0,Errachidia,2017,053,05,groupe
"Verrerie, vaisselle et ustensiles de ménage",100.0,Errachidia,2017,054,05,groupe
Outillage et autre matériel pour la maison et le jardin,100.0,Errachidia,2017,055,05,groupe
Biens et services liés à l'entretien courant du foyer,100.0,Errachidia,2017,056,05,groupe
Santé,100.0,Errachidia,2017,06,,division
"Produits, appareils et matériels médicaux",100.0,Errachidia,2017,061,06,groupe
Services ambulatoires,100.0,Errachidia,2017,062,06,groupe
Services hospitaliers,100.0,Errachidia,2017,063,06,groupe
Transport,100.0,Errachidia,2017,07,,division
Achat de véhicules,100.0,Errachidia,2017,071,07,groupe
Dépenses d'utilisation des véhicules,100.0,Errachidia,2017,072,07,groupe
Services de transport,100.0,Errachidia,2017,073,07,groupe
Communications,100.0,Errachidia,2017,08,,division
Services postaux,100.0,Errachidia,2017,081,08,groupe
Matériel de téléphonie et de télécopie,100.0,Errachidia,2017,082,08,groupe
Services de téléphonie et de télécopie,100.0,Errachidia,2017,083,08,groupe
Loisirs et culture,100.0,Errachidia,2017,09,,division
"Matériel audiovisuel, photographique et de traitement de l'information",100.0,Errachidia,2017,091,09,groupe
"Autres articles et matériel de loisirs, de jardinage et animaux de compagnie",100.0,Errachidia,2017,093,09,groupe
Services récréatifs et culturels,100.0,Errachidia,2017,094,09,groupe
"Journaux, livres et articles de papeterie",100.0,Errachidia,2017,095,09,groupe
Forfaits touristiques,100.0,Errachidia,2017,0960,096,groupe
Enseignement,100.0,Errachidia,2017,10,,division
Enseignement préélémentaire et primaire,100.0,Errachidia,2017,101,10,groupe
Enseignement secondaire,100.0,Errachidia,2017,102,10,groupe
Enseignement postsecondaire non supérieur,100.0,Errachidia,2017,103,10,groupe
Enseignement supérieur,100.0,Errachidia,2017,104,10,groupe
Enseignement non défini par niveau,100.0,Errachidia,2017,105,10,groupe
Restaurants et hôtels,100.0,Errachidia,2017,11,,division
Services de restauration,100.0,Errachidia,2017,111,11,groupe
Services d'hébergement,100.0,Errachidia,2017,112,11,groupe
Biens et services divers,100.0,Errachidia,2017,12,,division
Soins corporels,100.0,Errachidia,2017,121,12,groupe
Effets personnels non classés ailleurs,100.0,Errachidia,2017,123,12,groupe
Assurance,100.0,Errachidia,2017,125,12,groupe
Services financiers,100.0,Errachidia,2017,126,12,groupe
Autres services,100.0,Errachidia,2017,127,12,groupe
Autres biens durables à fonction  récréative et culturelle,100.0,Errachidia,2017,,,total
Indice général,100.0,Errachidia,2017,,,total
Variation (en %),100.0,Errachidia,2017,,,total
"Meubles, articles d'ameublement, tapis et autres revetements de sol",100.0,Errachidia,2017,,,total
Produits alimentaires et boissons non alcoolisées,100.0,Fès,2017,01,,division
Produits alimentaires,100.0,Fès,2017,011,01,groupe
Boissons non alcoolisées,100.0,Fès,2017,012,01,groupe
Boissons alcoolisées et tabac,100.0,Fès,2017,02,,division
Boissons alcoolisées,100.0,Fès,2017,021,02,groupe
Tabac,100.0,Fès,2017,022,02,groupe
Articles d'habillement et chaussures,100.0,Fès,2017,03,,division
Articles d'habillement,100.0,Fès,2017,031,03,groupe
Chaussures,100.0,Fès,2017,032,03,groupe
"Logement, eau, électricité, gaz et autres combustibles",100.0,Fès,2017,04,,division
Loyers effectifs,100.0,Fès,2017,041,04,groupe
Entretien et réparation des logements,100.0,Fès,2017,043,04,groupe
Alimentation en eau et services divers liés au logement,100.0,Fès,2017,044,04,groupe
"Electricité, gaz et autres combustibles",100.0,Fès,2017,045,04,groupe
"Meubles, articles de ménage et entretien courant du foyer",100.0,Fès,2017,05,,division
Articles de ménage en textiles,100.0,Fès,2017,052,05,groupe
Appareils ménagers,100.0,Fès,2017,053,05,groupe
"Verrerie, vaisselle et ustensiles de ménage",100.0,Fès,2017,054,05,groupe
Outillage et autre matériel pour la maison et le jardin,100.0,Fès,2017,055,05,groupe
Biens et services liés à l'entretien courant du foyer,100.0,Fès,2017,056,05,groupe
Santé,100.0,Fès,2017,06,,division
"Produits, appareils et matériels médicaux",100.0,Fès,2017,061,06,groupe
Services ambulatoires,100.0,Fès,2017,062,06,groupe
Services hospitaliers,100.0,Fès,2017,063,06,groupe
Transport,100.0,Fès,2017,07,,division
Achat de véhicules,100.0,Fès,2017,071,07,groupe
Dépenses d'utilisation des véhicules,100.0,Fès,2017,072,07,groupe
Services de transport,100.0,Fès,2017,073,07,groupe
Communications,100.0,Fès,2017,08,,division
Services postaux,100.0,Fès,2017,081,08,groupe
Matériel de téléphonie et de télécopie,100.0,Fès,2017,082,08,groupe
Services de téléphonie et de télécopie,100.0,Fès,2017,083,08,groupe
Loisirs et culture,100.0,Fès,2017,09,,division
"Matériel audiovisuel, photographique et de traitement de l'information",100.0,Fès,2017,091,09,groupe
"Autres articles et matériel de loisirs, de jardinage et animaux de compagnie",100.0,Fès,2017,093,09,groupe
Services récréatifs et culturels,100.0,Fès,2017,094,09,groupe
"Journaux, livres et articles de papeterie",100.0,Fès,2017,095,09,groupe
Forfaits touristiques,100.0,Fès,2017,0960,096,groupe
Enseignement,100.0,Fès,2017,10,,division
Enseignement préélémentaire et primaire,100.0,Fès,2017,101,10,groupe
Enseignement secondaire,100.0,Fès,2017,102,10,groupe
Enseignement postsecondaire non supérieur,100.0,Fès,2017,103,10,groupe
Enseignement supérieur,100.0,Fès,2017,104,10,groupe
Enseignement non défini par niveau,100.0,Fès,2017,105,10,groupe
Restaurants et hôtels,100.0,Fès,2017,11,,division
Services de restauration,100.0,Fès,2017,111,11,groupe
Services d'hébergement,100.0,Fès,2017,112,11,groupe
Biens et services divers,100.0,Fès,2017,12,,division
Soins corporels,100.0,Fès,2017,121,12,groupe
Effets personnels non classés ailleurs,100.0,Fès,2017,123,12,groupe
Assurance,100.0,Fès,2017,125,12,groupe
Services financiers,100.0,Fès,2017,126,12,groupe
Autres services,100.0,Fès,2017,127,12,groupe
Autres biens durables à fonction  récréative et culturelle,100.0,Fès,2017,,,total
"Meubles, articles d'ameublement, tapis et autres revetements de sol",100.0,Fès,2017,,,total
Indice général,100.0,Fès,2017,,,total
Variation (en %),100.0,Fès,2017,,,total
Produits alimentaires et boissons non alcoolisées,100.0,Guelmim,2017,01,,division
Produits alimentaires,100.0,Guelmim,2017,011,01,groupe
Boissons non alcoolisées,100.0,Guelmim,2017,012,01,groupe
Boissons alcoolisées et tabac,100.0,Guelmim,2017,02,,division
Boissons alcoolisées,100.0,Guelmim,2017,021,02,groupe
Tabac,100.0,Guelmim,2017,022,02,groupe
Articles d'habillement et chaussures,100.0,Guelmim,2017,03,,division
Articles d'habillement,100.0,Guelmim,2017,031,03,groupe
Chaussures,100.0,Guelmim,2017,032,03,groupe
"Logement, eau, électricité, gaz et autres combustibles",100.0,Guelmim,2017,04,,division
Loyers effectifs,100.0,Guelmim,2017,041,04,groupe
Entretien et réparation des logements,100.0,Guelmim,2017,043,04,groupe
Alimentation en eau et services divers liés au logement,100.0,Guelmim,2017,044,04,groupe
"Electricité, gaz et autres combustibles",100.0,Guelmim,2017,045,04,groupe
"Meubles, articles de ménage et entretien courant du foyer",100.0,Guelmim,2017,05,,division
Articles de ménage en textiles,100.0,Guelmim,2017,052,05,groupe
Appareils ménagers,100.0,Guelmim,2017,053,05,groupe
"Verrerie, vaisselle et ustensiles de ménage",100.0,Guelmim,2017,054,05,groupe
Outillage et autre matériel pour la maison et le jardin,100.0,Guelmim,2017,055,05,groupe
Biens et services liés à l'entretien courant du foyer,100.0,Guelmim,2017,056,05,groupe
Santé,100.0,Guelmim,2017,06,,division
"Produits, appareils et matériels médicaux",100.0,Guelmim,2017,061,06,groupe
Services ambulatoires,100.0,Guelmim,2017,062,06,groupe
Services hospitaliers,100.0,Guelmim,2017,063,06,groupe
Transport,100.0,Guelmim,2017,07,,division
Achat de véhicules,100.0,Guelmim,2017,071,07,groupe
Dépenses d'utilisation des véhicules,100.0,Guelmim,2017,072,07,groupe
Services de transport,100.0,Guelmim,2017,073,07,groupe
Communications,100.0,Guelmim,2017,08,,division
Services postaux,100.0,Guelmim,2017,081,08,groupe
Matériel de téléphonie et de télécopie,100.0,Guelmim,2017,082,08,groupe
Services de téléphonie et de télécopie,100.0,Guelmim,2017,083,08,groupe
Loisirs et culture,100.0,Guelmim,2017,09,,division
"Matériel audiovisuel, photographique et de traitement de l'information",100.0,Guelmim,2017,091,09,groupe
"Autres articles et matériel de loisirs, de jardinage et animaux de compagnie",100.0,Guelmim,2017,093,09,groupe
Services récréatifs et culturels,100.0,Guelmim,2017,094,09,groupe
"Journaux, livres et articles de papeterie",100.0,Guelmim,2017,095,09,groupe
